Periodo,PIB_Pesca,PIB_Agropecuario_silvicola,PIB_Mineria,PIB_Mineria_del_cobre,PIB_Otras_actividades_mineras,PIB_Industria_Manufacturera,PIB_Alimentos,PIB_Bebidas_y_tabaco,PIB_Textil,PIB_Maderas_y_muebles,PIB_Celulosa,PIB_Refinacion_de_petroleo,PIB_Quimica,PIB_Minerales_no_metalicos_y_metalica_basica,PIB_Productos_metalicos,PIB_Electricidad,PIB_Construccion,PIB_Comercio,PIB_Restaurantes_y_hoteles,PIB_Transporte,PIB_Comunicaciones,PIB_Servicios_financieros,PIB_Servicios_empresariales,PIB_Servicios_de_vivienda,PIB_Servicios_personales,PIB_Administracion_publica,PIB_a_costo_de_factores,Impuesto_al_valor_agregado,Derechos_de_Importacion,PIB
2014-01-01 00:00:00+00:00,44.909709819138,550.59326012397,1234.0881114744,1108.9224351339,125.16567634051,1259.1525641803,323.82918104182,160.13167239794,27.160880240185,61.314900744113,111.18668359688,107.17654730529,197.0041938743,67.953589976842,203.39491500298,309.2901330708,635.81226764413,1076.8256005328,220.17099638976,539.10872670177,364.94881715181,603.42679708488,1266.7231145408,857.85201981978,787.09952140931,522.48007743945,10272.481717383,886.47192594277,56.281565588043,11215.235208914
2014-02-01 00:00:00+00:00,53.062815270866,589.16236563346,1189.7909877576,1076.8612505719,112.92973718572,1173.2445420745,326.84828662791,151.00258167185,24.777101043721,58.489290987186,98.52635194432,98.774602305091,169.05001141977,63.772180601712,182.004135473,276.72591412968,621.41920149313,1065.6785940947,215.19997012438,530.52528543239,329.4248742002,602.9697626889,1164.6293132638,829.46538448015,690.06050436861,523.18409195858,9854.5436069712,841.55529675867,53.683868332319,10749.782772062
2014-03-01 00:00:00+00:00,107.00780404971,533.63657990753,1278.1988319079,1154.0062485153,124.19258339253,1343.142654398,397.25013629609,156.58152686799,29.143677353207,66.304383849886,102.25182826335,115.53693742286,197.40822946176,75.735759680451,202.93017520241,290.91161318609,710.05984490197,1224.2504304668,211.26532328596,561.81596140183,344.6210560855,595.79393150886,1179.3268451994,825.4059992439,1426.0004561743,525.20845857797,11156.645790296,945.24919960917,64.062758670265,12165.957748575
2014-04-01 00:00:00+00:00,93.516914455905,325.10838937115,1230.3338159119,1104.6603071358,125.67350877608,1326.9944466189,371.72774653033,167.40715560966,31.268820362322,67.591263876875,98.427662634693,100.93298891292,200.68789901657,73.571067238755,215.37984243674,282.37495738652,742.67194498488,1111.2310339356,218.15036658082,548.23551594016,354.96993619624,587.09515751914,1242.4550773934,829.51990595755,1478.779308945,523.39923652483,10894.836007722,907.36605276441,47.50308128667,11849.705141773
2014-05-01 00:00:00+00:00,75.466435716183,267.62647371864,1345.1593683928,1215.4244017802,129.73496661262,1316.1809375428,366.22140570789,166.44623813394,31.115830576989,70.01941768505,104.64234702083,108.89514474129,190.20476565409,73.216808985407,205.41897903729,301.02074242982,727.23388447187,1075.5958314397,211.94906250144,548.56122985903,360.45036484368,590.77053038421,1249.9337884118,831.26687618602,1507.0351478306,523.91317046167,10932.16384419,928.42601330093,47.703622416843,11908.293479908
2014-06-01 00:00:00+00:00,73.559657669976,217.38944297482,1302.7159109434,1171.4261420466,131.28976889682,1234.6357333579,336.0678289441,156.71585579127,27.46523802085,66.234114001745,100.95729608731,95.211725482094,188.68005387377,66.590005362799,196.713615794,295.14107474567,697.45532933383,988.65710028752,212.90661462896,537.6326247946,362.48810724328,587.68184442038,1249.3170564416,838.62048800637,1508.5726285955,526.23201458591,10633.00562803,906.13361404185,43.258410648253,11582.39765272
2014-07-01 00:00:00+00:00,70.196980357384,183.62026787304,1254.9943255059,1123.5859572429,131.40836826302,1251.8572906687,334.27566193646,147.48729376605,26.223996463243,72.386711644539,103.33205822957,106.29232692493,187.16475972819,70.123717819114,204.57076415665,288.5598756135,712.93586427716,985.29389322855,216.17032277769,552.75965349778,359.11600176077,588.43983637971,1220.4714991559,849.01425390575,1121.9673892885,526.29923926891,10181.696693559,905.52397877917,43.464149880967,11130.684822219
2014-08-01 00:00:00+00:00,50.315422615915,149.71322462313,1249.6085401368,1101.6869380818,147.92160205499,1213.2131425056,307.04975198168,152.75810974705,24.90115901532,68.761713320036,99.219664589752,97.445154380184,190.11104835462,72.779882341803,200.18665877517,319.27985289515,711.58477730666,984.67664160371,219.13891088826,557.53211872634,361.14005665397,587.42987097971,1210.3742084655,850.83460936718,1477.1487910666,528.94730662038,10470.937474455,917.87296385497,46.482600146238,11435.293038456
2014-09-01 00:00:00+00:00,46.584961016592,162.45195946527,1286.7115214693,1140.6887513569,146.0227701124,1188.1441300688,284.36278204042,155.09871646224,25.51518302157,64.07886999261,99.634496031419,106.35671817768,193.15715638757,65.022129987612,194.91807796771,311.37692339023,659.12270860238,961.9108877768,224.2624507411,549.50016775989,366.28732628389,584.20804307914,1206.0605346785,856.19911267381,1289.184449875,533.72464931348,10225.729826194,912.82325072696,57.606810554052,11196.159887475
2014-10-01 00:00:00+00:00,65.899036413791,246.06340212028,1366.3073361455,1201.7921486607,164.51518748483,1321.4310228983,340.17860309308,166.09428271749,32.254892687188,76.562909757647,102.93154131555,93.199049247513,216.5435828144,74.923532666562,218.74262859886,333.0382584839,775.06287836027,1008.2438193243,225.51555284901,590.50163696878,388.09825455084,582.85996067987,1203.3406986053,858.53861658996,1523.8214072066,537.09052128273,11025.812402479,942.64870346391,52.819242310996,12021.280348254
2014-11-01 00:00:00+00:00,59.633439487179,284.82153481972,1319.7206779742,1157.83932651,161.88135146419,1264.4046672645,325.79168287463,165.75499374025,30.20587580402,74.450603454183,99.377227032668,78.468700796297,201.90859140399,75.801117527865,212.64587463061,333.25660639497,839.79689495038,1018.2050913597,237.90819010669,587.75287009625,415.55239038612,595.70636912738,1337.8863200372,888.68490130925,1525.5837587836,539.93112630586,11248.844838403,969.52948822825,53.285013150654,12271.659339782
2014-12-01 00:00:00+00:00,42.010371334881,378.96685195959,1433.4763940147,1278.3416453983,155.13474861639,1324.5021837364,323.58101509437,184.34343850815,33.839909729034,75.692756312949,106.13881394949,93.205399244214,197.92301181453,69.694853126652,240.08298595701,339.18152370168,994.83871733865,1335.2341693656,235.48340809912,596.47648954219,411.63077443209,614.97017878449,1297.6570669613,902.50281033454,1109.6625702886,545.40444310865,11561.997953002,1173.3566467405,50.325684346287,12785.680284089
